dataset,video_path,subject,camera,scenario,activity,source_label,label,start_s,end_s,split,pose_path,pose_cache_hit,pose_cache_version
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute04_cam3_0_10.153_12.721_1_3_mcfd.avi,1,3,4,walk,0,0,10.153473333333334,12.721333333333334,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_4ac206ea25359f608843.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute04_cam1_0_9.953_12.521_1_1_mcfd.avi,1,1,4,fall,1,1,12.521333333333333,13.870143333333331,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_de0b5f58b46dcde4ad4f.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute04_cam3_0_10.153_12.721_1_3_mcfd.avi,1,3,4,fall,1,1,12.721333333333334,14.070143333333334,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_83b3e6811b97cc2ca32e.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute05_cam1_0_9.766_10.613_1_1_mcfd.avi,1,1,5,walk,0,0,9.765976666666669,10.612666666666668,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_f6c5a50a24b53edb313e.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute05_cam3_0_9.366_10.213_1_3_mcfd.avi,1,3,5,walk,0,0,9.365976666666668,10.212666666666667,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_c47617d7a2fc2c2a333f.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute05_cam1_0_9.766_10.613_1_1_mcfd.avi,1,1,5,fall,1,1,10.648666666666667,12.890976666666669,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_bedb6c12b6be7da5d786.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute05_cam3_0_9.366_10.213_1_3_mcfd.avi,1,3,5,fall,1,1,10.248666666666669,12.490976666666668,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_817728939c4263a71d4a.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute05_cam1_0_9.766_10.613_1_1_mcfd.avi,1,1,5,fallen,2,1,12.890666666666666,15.280666666666669,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_66f11ae0d1639c41510c.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute05_cam3_0_9.366_10.213_1_3_mcfd.avi,1,3,5,fallen,2,1,12.490666666666666,14.880666666666666,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_a46fd8b6c6518e9119a5.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute06_cam1_0_10.999_19.935_1_1_mcfd.avi,1,1,6,walk,0,0,10.999303333333334,19.93533333333333,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_ae1919aa2570fdbe041a.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute06_cam3_0_14.533_23.469_1_3_mcfd.avi,1,3,6,walk,0,0,14.532636666666669,23.468666666666667,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_6add62a49a46a52e8cd7.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute06_cam1_0_10.999_19.935_1_1_mcfd.avi,1,1,6,fall,1,1,19.967333333333336,22.353473333333334,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_02b4c607ff37a3ef1d3b.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute06_cam3_0_14.533_23.469_1_3_mcfd.avi,1,3,6,fall,1,1,23.500666666666667,25.886806666666665,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_71e93890fc10b743d1aa.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute07_cam1_0_11.741_17.310_1_1_mcfd.avi,1,1,7,walk,0,0,11.74097,17.31,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_80ef7e95fa86a752c196.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute07_cam3_0_11.341_16.910_1_3_mcfd.avi,1,3,7,walk,0,0,11.34097,16.91,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_2680c6e7ef72b41273f0.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute07_cam1_0_11.741_17.310_1_1_mcfd.avi,1,1,7,fall,1,1,17.346,19.49097,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_4114cc206e4087662a91.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute07_cam3_0_11.341_16.910_1_3_mcfd.avi,1,3,7,fall,1,1,16.946,19.09097,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_ded9e3f4ed5744a5104a.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute08_cam1_0_7.878_12.687_1_1_mcfd.avi,1,1,8,walk,0,0,7.878473333333334,12.687333333333331,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_a991a3882e317129afef.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute08_cam3_0_4.812_9.621_1_3_mcfd.avi,1,3,8,walk,0,0,4.811806666666668,9.620666666666668,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_b3167a8acae91d982248.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute08_cam1_0_7.878_12.687_1_1_mcfd.avi,1,1,8,fall,1,1,12.719333333333331,14.086803333333334,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_27d266cf22ff72c3c288.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute08_cam3_0_4.812_9.621_1_3_mcfd.avi,1,3,8,fall,1,1,9.652666666666669,11.020136666666668,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_b061e275e7c8594b6086.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute08_cam1_0_7.878_12.687_1_1_mcfd.avi,1,1,8,fallen,2,1,14.086333333333334,16.355333333333334,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_971ac6c48c935cd7cbcc.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute08_cam3_0_4.812_9.621_1_3_mcfd.avi,1,3,8,fallen,2,1,11.019666666666668,13.288666666666668,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_b7d2f77e9c3cfa26c8c5.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute09_cam1_0_10.216_16.273_1_1_mcfd.avi,1,1,9,walk,0,0,10.215976666666666,16.27266666666667,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_43bcc10ccd3b78aeda51.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute09_cam3_0_9.649_15.706_1_3_mcfd.avi,1,3,9,walk,0,0,9.64931,15.706,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_3147f08d14067f83ad93.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute09_cam1_0_10.216_16.273_1_1_mcfd.avi,1,1,9,fall,1,1,16.308666666666667,17.372666666666667,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_dabea093c81d115f3d76.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute09_cam3_0_9.649_15.706_1_3_mcfd.avi,1,3,9,fall,1,1,15.742,16.806,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_3186695eca8699de90d9.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute09_cam1_0_10.216_16.273_1_1_mcfd.avi,1,1,9,sitting,4,0,17.40866666666667,19.74066666666667,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_bc3ff62cee110396ca07.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute09_cam3_0_9.649_15.706_1_3_mcfd.avi,1,3,9,sitting,4,0,16.842000000000002,19.174000000000003,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_1bc703a401eb475392d2.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute09_cam1_0_10.216_16.273_1_1_mcfd.avi,1,1,9,stand_up,7,0,19.77266666666667,21.44066666666667,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_8b088e76663a94fd3bc0.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute09_cam3_0_9.649_15.706_1_3_mcfd.avi,1,3,9,stand_up,7,0,19.206000000000003,20.874,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_a87604d7491190e48737.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute09_cam1_0_10.216_16.273_1_1_mcfd.avi,1,1,9,fall,1,1,21.47266666666667,22.903476666666663,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_48883626c9cc043878d7.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute09_cam3_0_9.649_15.706_1_3_mcfd.avi,1,3,9,fall,1,1,20.906,22.33681,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_6f0a02c8a80bb42626a4.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute10_cam1_0_10.553_16.013_1_1_mcfd.avi,1,1,10,walk,0,0,10.553476666666668,16.012666666666668,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_81671385e3de5620b528.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute10_cam3_0_10.720_16.179_1_3_mcfd.avi,1,3,10,walk,0,0,10.720143333333333,16.179333333333332,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_fa25d30cb654c8a6189f.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute10_cam1_0_10.553_16.013_1_1_mcfd.avi,1,1,10,sit_down,3,0,16.044666666666668,17.386806666666665,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_ebdc75511d98f4d120cc.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute10_cam3_0_10.720_16.179_1_3_mcfd.avi,1,3,10,sit_down,3,0,16.211333333333332,17.553473333333333,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_a0dddb4ca2ea611df5d0.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute10_cam1_0_10.553_16.013_1_1_mcfd.avi,1,1,10,fallen,2,1,18.719666666666665,20.883476666666667,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_05be79026b8c46c8077e.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute10_cam3_0_10.720_16.179_1_3_mcfd.avi,1,3,10,fallen,2,1,18.886333333333333,21.05014333333333,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_50684d752df3890b5d60.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute11_cam1_0_13.274_16.403_1_1_mcfd.avi,1,1,11,walk,0,0,13.274306666666668,16.402666666666665,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_27642c6b0fda849f7ce7.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute11_cam3_0_13.174_16.303_1_3_mcfd.avi,1,3,11,walk,0,0,13.174306666666666,16.302666666666667,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_74cc49fb6f0210450054.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute11_cam1_0_13.274_16.403_1_1_mcfd.avi,1,1,11,fall,1,1,16.438666666666666,18.003476666666664,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_5fcdd62a6e48e7ec1c6e.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute11_cam3_0_13.174_16.303_1_3_mcfd.avi,1,3,11,fall,1,1,16.33866666666667,17.903476666666666,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_3780e7ee628ffde953d5.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute12_cam1_0_12.634_20.934_1_1_mcfd.avi,1,1,12,walk,0,0,12.634,20.934,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_15578389153a1f16841b.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute12_cam3_0_12.367_20.667_1_3_mcfd.avi,1,3,12,walk,0,0,12.367333333333333,20.66733333333333,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_caa59f9ece5a6427f027.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute12_cam1_0_12.634_20.934_1_1_mcfd.avi,1,1,12,fall,1,1,20.97,22.57,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_96df51b519330cabd96c.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute12_cam3_0_12.367_20.667_1_3_mcfd.avi,1,3,12,fall,1,1,20.703333333333333,22.30333333333333,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_df1d46b101a09944efd3.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute12_cam1_0_12.634_20.934_1_1_mcfd.avi,1,1,12,fallen,2,1,22.602,26.47,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_1970b982b50ac30a6f06.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute12_cam3_0_12.367_20.667_1_3_mcfd.avi,1,3,12,fallen,2,1,22.33533333333333,26.203333333333333,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_7836a6d65a6b488eb6e1.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute13_cam1_0_10.583_14.883_1_1_mcfd.avi,1,1,13,walk,0,0,10.583333333333332,14.883333333333333,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_6957e6b0df93ebd61c17.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute13_cam3_0_10.050_14.350_1_3_mcfd.avi,1,3,13,walk,0,0,10.05,14.35,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_f7e10276211f01406114.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute13_cam1_0_10.583_14.883_1_1_mcfd.avi,1,1,13,fall,1,1,14.919333333333332,16.419333333333334,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_6f6361d20564d9b85857.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute13_cam3_0_10.050_14.350_1_3_mcfd.avi,1,3,13,fall,1,1,14.386,15.886,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_192c39f7c068006ed1ed.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute13_cam1_0_10.583_14.883_1_1_mcfd.avi,1,1,13,other,9,0,16.451333333333334,21.75133333333333,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_e7afa27891429b0b7e66.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute13_cam3_0_10.050_14.350_1_3_mcfd.avi,1,3,13,other,9,0,15.918,21.218,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_b1a3dba03c595b98b56c.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute13_cam1_0_10.583_14.883_1_1_mcfd.avi,1,1,13,lying,6,0,21.78333333333333,23.89097333333333,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_06c767a34e808a6a5106.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute13_cam3_0_10.050_14.350_1_3_mcfd.avi,1,3,13,lying,6,0,21.25,23.35764,val,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_f71103c5d8164c425d62.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
MCFD,/content/fall_detection_work/MCFD/MCFD/clips/chute13_cam1_0_10.583_14.883_1_1_mcfd.avi,1,1,13,fall,1,1,27.98333333333333,29.319333333333333,train,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/MCFD_3ea8b12a4cbd6e81a14f.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
