dataset,video_path,subject,camera,scenario,activity,source_label,label,start_s,end_s,pose_path,pose_cache_hit,pose_cache_version
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.2/FallBackwardsS2_1_2.060_4.660_2_1_caucafall.avi,2,1,FallBackwardsS2,standing,8,0,0.0,2.06,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_af9c766de3cbee31a7f6.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.2/FallRightS2_0_0.280_1.060_2_1_caucafall.avi,2,1,FallRightS2,standing,8,0,0.0,0.28,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_54ad3e0a1f7426c0da93.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.2/FallSittingS2_1_2.240_5.620_2_1_caucafall.avi,2,1,FallSittingS2,sitting,4,0,0.0,2.24,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_58754267bea016f6aa60.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.2/FallLeftS2_1_0.610_3.230_2_1_caucafall.avi,2,1,FallLeftS2,standing,8,0,0.01,0.61,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_ca2bef25c8f4f1145214.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.2/FallRightS2_0_0.280_1.060_2_1_caucafall.avi,2,1,FallRightS2,walk,0,0,0.28,1.06,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_55f241a0288a02bb4882.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.2/FallLeftS2_1_0.610_3.230_2_1_caucafall.avi,2,1,FallLeftS2,fall,1,1,0.61,3.23,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_3a0ee93533c76b06f789.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.2/FallForwardS2_1_0.000_1.880_2_1_caucafall.avi,2,1,FallForwardS2,fallen,2,1,1.68,5.3,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_49a023aaa11624ea085b.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.2/FallBackwardsS2_1_2.060_4.660_2_1_caucafall.avi,2,1,FallBackwardsS2,fall,1,1,2.06,4.66,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_4469d05500b7d0104204.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.2/FallSittingS2_1_2.240_5.620_2_1_caucafall.avi,2,1,FallSittingS2,fall,1,1,2.24,5.62,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_1f1c81d5da084e463262.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.3/HopS3_9_0.000_8.100_3_1_caucafall.avi,3,1,HopS3,other,9,0,0.0,8.1,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_d5b52ed17136eabcd810.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.3/KneelS3_7_6.990_10.648_3_1_caucafall.avi,3,1,KneelS3,other,9,0,0.0,6.99,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_91248948eb861413ce35.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.3/PickupobjectS3_0_0.000_1.696_3_1_caucafall.avi,3,1,PickupobjectS3,walk,0,0,0.0,1.69589,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_39582ec1ba3113ee0711.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.3/SitDownS3_3_1.987_5.612_3_1_caucafall.avi,3,1,SitDownS3,other,9,0,0.0,1.98692,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_b5324615ec66cf9876b8.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.3/WalkS3_0_0.000_8.800_3_1_caucafall.avi,3,1,WalkS3,walk,0,0,0.0,8.8,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_c4dbce9c6e31144dedb3.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.3/FallBackwardsS3_1_2.220_5.000_3_1_caucafall.avi,3,1,FallBackwardsS3,standing,8,0,0.0,2.22,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_52d9851eec8b141eb570.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.3/FallForwardS3_1_3.010_5.190_3_1_caucafall.avi,3,1,FallForwardS3,standing,8,0,0.0,3.01,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_8012347535ee8a2c1952.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.3/FallLeftS3_1_4.270_6.130_3_1_caucafall.avi,3,1,FallLeftS3,standing,8,0,0.0,4.27,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_6f99cf9231ad2f74a521.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.3/FallRightS3_1_1.760_3.760_3_1_caucafall.avi,3,1,FallRightS3,standing,8,0,0.0,1.76,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_020999c9f5a379d14a88.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.3/FallSittingS3_1_1.500_3.420_3_1_caucafall.avi,3,1,FallSittingS3,sitting,4,0,0.0,1.5,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_53a3f7ac0aa9768bc326.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.3/FallSittingS3_1_1.500_3.420_3_1_caucafall.avi,3,1,FallSittingS3,fall,1,1,1.5,3.42,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_90d3c94ff788862f2544.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.3/FallRightS3_1_1.760_3.760_3_1_caucafall.avi,3,1,FallRightS3,fall,1,1,1.76,3.76,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_4d500351ddc3aca3bb1d.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.3/SitDownS3_3_1.987_5.612_3_1_caucafall.avi,3,1,SitDownS3,sit_down,3,0,1.987,5.61192,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_d628f12d0606e49a2ae3.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.3/FallBackwardsS3_1_2.220_5.000_3_1_caucafall.avi,3,1,FallBackwardsS3,fall,1,1,2.22,5.0,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_78660f2c1a0279c62018.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.4/FallForwardS4_1_0.000_2.000_4_1_caucafall.avi,4,1,FallForwardS4,fall,1,1,0.0,2.0,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_baed4da6403519719e7e.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.4/HopS4_9_0.000_7.200_4_1_caucafall.avi,4,1,HopS4,other,9,0,0.0,7.2,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_522722f04c3af4828b98.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.4/KneelS4_7_8.531_11.091_4_1_caucafall.avi,4,1,KneelS4,other,9,0,0.0,8.54,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_1a7cd3e766b6c1ae5084.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.4/PickupobjectS4_0_0.000_8.950_4_1_caucafall.avi,4,1,PickupobjectS4,walk,0,0,0.0,8.95,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_b5b875315602248ba9e1.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.4/SitDownS4_3_2.799_5.987_4_1_caucafall.avi,4,1,SitDownS4,other,9,0,0.0,2.79942,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_dce6ca1261b6b780f27b.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.4/WalkS4_0_0.000_12.000_4_1_caucafall.avi,4,1,WalkS4,walk,0,0,0.0,12.0,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_f89c621fbe313e11e1c8.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.4/FallBackwardsS4_0_0.000_2.150_4_1_caucafall.avi,4,1,FallBackwardsS4,walk,0,0,0.0,2.15,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_bcd651b9f3dd11078260.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.4/FallLeftS4_1_1.980_4.180_4_1_caucafall.avi,4,1,FallLeftS4,other,9,0,0.0,1.98,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_5e76f6a3de171c4283e5.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.4/FallRightS4_1_1.180_3.180_4_1_caucafall.avi,4,1,FallRightS4,standing,8,0,0.0,1.18,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_a8de60e76ee944a1c774.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.4/FallSittingS4_1_2.260_4.100_4_1_caucafall.avi,4,1,FallSittingS4,sitting,4,0,0.0,2.26,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_d364c40f77b8de3de9ec.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.4/FallRightS4_1_1.180_3.180_4_1_caucafall.avi,4,1,FallRightS4,fall,1,1,1.18,3.18,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_e8040a9ff823dcf9d43e.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.4/FallLeftS4_1_1.980_4.180_4_1_caucafall.avi,4,1,FallLeftS4,fall,1,1,1.98,4.18,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_97cc064addbd7f57aff0.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.4/SitDownS4_3_2.799_5.987_4_1_caucafall.avi,4,1,SitDownS4,sit_down,3,0,2.799,5.98692,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_ca8c7c38ca284c47ffb7.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.5/HopS5_9_0.000_6.100_5_1_caucafall.avi,5,1,HopS5,other,9,0,0.0,6.1,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_bbc559431847e1aec255.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.5/PickupobjectS5_0_0.000_2.505_5_1_caucafall.avi,5,1,PickupobjectS5,walk,0,0,0.0,2.50465,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_e0c92cf73fa04fa2e8c7.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.5/SitDownS5_0_0.000_2.299_5_1_caucafall.avi,5,1,SitDownS5,walk,0,0,0.0,2.29942,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_0dbfe60bd69044ad2c9e.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.5/WalkS5_0_0.000_11.300_5_1_caucafall.avi,5,1,WalkS5,walk,0,0,0.0,11.3,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_8851c5bd1bec9071fa67.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.5/FallBackwardsS5_1_0.750_3.850_5_1_caucafall.avi,5,1,FallBackwardsS5,standing,8,0,0.0,0.75,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_fa87de805fbc13bbd37a.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.5/FallLeftS5_1_1.970_4.490_5_1_caucafall.avi,5,1,FallLeftS5,standing,8,0,0.0,1.97,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_688dcfff4958fa8c0aa6.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.5/FallForwardS5_0_0.000_1.940_5_1_caucafall.avi,5,1,FallForwardS5,walk,0,0,0.0,1.94,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_7de2c199286206696f83.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.5/FallRightS5_0_1.800_2.800_5_1_caucafall.avi,5,1,FallRightS5,standing,8,0,0.0,1.8,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_4c010116392e3c0301cc.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.5/FallSittingS5_1_1.880_4.320_5_1_caucafall.avi,5,1,FallSittingS5,sitting,4,0,0.0,1.88,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_f1f30c702a6ab6edcb3f.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.5/KneelS5_0_0.014_1.954_5_1_caucafall.avi,5,1,KneelS5,walk,0,0,0.014,1.954,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_143a5de4f3a3a36602f6.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.5/FallBackwardsS5_1_0.750_3.850_5_1_caucafall.avi,5,1,FallBackwardsS5,fall,1,1,0.75,3.85,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_f2f4e6d5643f425a7928.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.5/FallSittingS5_1_1.880_4.320_5_1_caucafall.avi,5,1,FallSittingS5,fall,1,1,1.88,4.32,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_b73ee186a926ac32a5a8.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.5/FallLeftS5_1_1.970_4.490_5_1_caucafall.avi,5,1,FallLeftS5,fall,1,1,1.97,4.49,/content/drive/MyDrive/fall_detection_project/pose_cache/pose_v2_yolo11n_T32_C8_batch32_fp16/CAUCAFall_ae372ffa9964212ca9a4.npz,False,pose_v2_yolo11n_T32_C8_batch32_fp16
