path,label,start,end,subject,cam,dataset
side/FallRightS4,2,3.18,7.5,4,1,caucafall
side/FallSittingS4,2,4.1,9.9,4,1,caucafall
side/FallLeftS4,2,4.18,8.1,4,1,caucafall
backwards/FallBackwardsS4,5,5.21,9.59,4,1,caucafall
adl/SitDownS4,4,5.987,9.94358,4,1,caucafall
adl/KneelS4,7,8.531,11.091,4,1,caucafall
adl/HopS5,9,0.0,6.1,5,1,caucafall
adl/PickupobjectS5,0,0.0,2.50465,5,1,caucafall
adl/SitDownS5,0,0.0,2.29942,5,1,caucafall
adl/WalkS5,0,0.0,11.3,5,1,caucafall
backwards/FallBackwardsS5,8,0.0,0.75,5,1,caucafall
side/FallLeftS5,8,0.0,1.97,5,1,caucafall
forward/FallForwardS5,0,0.0,1.94,5,1,caucafall
side/FallRightS5,8,0.0,1.8,5,1,caucafall
side/FallSittingS5,4,0.0,1.88,5,1,caucafall
adl/KneelS5,0,0.014,1.954,5,1,caucafall
backwards/FallBackwardsS5,1,0.75,3.85,5,1,caucafall
side/FallRightS5,0,1.8,2.8,5,1,caucafall
side/FallSittingS5,1,1.88,4.32,5,1,caucafall
forward/FallForwardS5,1,1.94,3.66,5,1,caucafall
side/FallLeftS5,1,1.97,4.49,5,1,caucafall
adl/KneelS5,9,2.127,6.673,5,1,caucafall
adl/SitDownS5,3,2.299,6.88275,5,1,caucafall
adl/PickupobjectS5,9,2.505,12.85465,5,1,caucafall
side/FallRightS5,1,2.8,4.8,5,1,caucafall
forward/FallForwardS5,2,3.66,10.0,5,1,caucafall
backwards/FallBackwardsS5,2,3.85,10.69,5,1,caucafall
side/FallSittingS5,2,4.32,11.44,5,1,caucafall
side/FallLeftS5,2,4.49,12.35,5,1,caucafall
side/FallRightS5,2,4.8,10.94,5,1,caucafall
adl/KneelS5,7,6.674,10.394,5,1,caucafall
adl/SitDownS5,4,6.883,11.46608,5,1,caucafall
adl/SitDownS5,7,11.466,12.98608,5,1,caucafall
adl/PickupobjectS5,0,12.855,13.55,5,1,caucafall
adl/HopS6,9,0.0,8.1,6,1,caucafall
adl/KneelS6,9,0.0,7.35,6,1,caucafall
adl/PickupobjectS6,0,0.0,2.19525,6,1,caucafall
adl/SitDownS6,0,0.0,2.42442,6,1,caucafall
adl/WalkS6,0,0.0,13.3,6,1,caucafall
backwards/FallBackwardsS6,8,0.0,2.22,6,1,caucafall
forward/FallForwardS6,0,0.0,2.36,6,1,caucafall
side/FallLeftS6,0,0.0,1.08,6,1,caucafall
side/FallRightS6,0,0.0,2.9,6,1,caucafall
side/FallSittingS6,4,0.0,2.98,6,1,caucafall
side/FallLeftS6,1,1.08,3.64,6,1,caucafall
adl/PickupobjectS6,9,2.195,8.69525,6,1,caucafall
backwards/FallBackwardsS6,1,2.22,5.92,6,1,caucafall
forward/FallForwardS6,1,2.36,5.2,6,1,caucafall
adl/SitDownS6,3,2.424,5.36192,6,1,caucafall
side/FallRightS6,1,2.9,5.12,6,1,caucafall
side/FallSittingS6,1,2.98,6.02,6,1,caucafall
side/FallLeftS6,2,3.64,11.44,6,1,caucafall
side/FallRightS6,2,5.12,11.44,6,1,caucafall
forward/FallForwardS6,2,5.2,10.1,6,1,caucafall
adl/SitDownS6,4,5.362,8.50775,6,1,caucafall
backwards/FallBackwardsS6,2,5.92,11.7,6,1,caucafall
side/FallSittingS6,2,6.02,12.4,6,1,caucafall
adl/KneelS6,7,7.334,9.434,6,1,caucafall
adl/SitDownS6,7,8.508,9.45,6,1,caucafall
adl/PickupobjectS6,0,8.695,10.09108,6,1,caucafall
adl/HopS7,9,0.0,9.9,7,1,caucafall
adl/KneelS7,9,0.0,9.32,7,1,caucafall
adl/PickupobjectS7,7,0.0,1.06946,7,1,caucafall
adl/SitDownS7,0,0.0,0.79942,7,1,caucafall
adl/WalkS7,0,0.0,9.65,7,1,caucafall
backwards/FallBackwardsS7,8,0.0,3.09,7,1,caucafall
forward/FallForwardS7,0,0.0,0.78,7,1,caucafall
side/FallLeftS7,8,0.0,2.36,7,1,caucafall
side/FallRightS7,8,0.0,1.03,7,1,caucafall
side/FallSittingS7,4,0.0,1.08,7,1,caucafall
forward/FallForwardS7,1,0.78,2.64,7,1,caucafall
adl/SitDownS7,3,0.799,4.07025,7,1,caucafall
side/FallRightS7,1,1.03,3.09,7,1,caucafall
adl/PickupobjectS7,0,1.069,2.23792,7,1,caucafall
side/FallSittingS7,1,1.08,4.16,7,1,caucafall
adl/PickupobjectS7,9,2.238,6.58408,7,1,caucafall
side/FallLeftS7,1,2.36,4.38,7,1,caucafall
forward/FallForwardS7,2,2.64,8.1,7,1,caucafall
backwards/FallBackwardsS7,1,3.09,5.55,7,1,caucafall
side/FallRightS7,2,3.09,8.29,7,1,caucafall
adl/SitDownS7,4,4.07,8.19525,7,1,caucafall
side/FallSittingS7,2,4.16,10.34,7,1,caucafall
side/FallLeftS7,2,4.38,10.6,7,1,caucafall
backwards/FallBackwardsS7,2,5.55,12.55,7,1,caucafall
adl/PickupobjectS7,8,6.584,7.584,7,1,caucafall
adl/SitDownS7,7,8.195,9.635,7,1,caucafall
adl/KneelS7,7,9.32,10.1,7,1,caucafall
adl/HopS8,9,0.0,8.3,8,1,caucafall
adl/KneelS8,9,0.0,10.0,8,1,caucafall
adl/PickupobjectS8,0,0.0,1.88275,8,1,caucafall
adl/SitDownS8,3,0.0,4.96608,8,1,caucafall
adl/WalkS8,0,0.0,10.8,8,1,caucafall
backwards/FallBackwardsS8,8,0.0,1.73,8,1,caucafall
forward/FallForwardS8,0,0.0,0.71,8,1,caucafall
side/FallLeftS8,8,0.0,1.0,8,1,caucafall
side/FallRightS8,0,0.0,1.58,8,1,caucafall
side/FallSittingS8,4,0.0,2.25,8,1,caucafall
forward/FallForwardS8,1,0.71,2.55,8,1,caucafall
side/FallLeftS8,1,1.0,3.4,8,1,caucafall
side/FallRightS8,1,1.58,3.68,8,1,caucafall
backwards/FallBackwardsS8,1,1.73,4.55,8,1,caucafall
adl/PickupobjectS8,9,1.883,13.29942,8,1,caucafall
side/FallSittingS8,1,2.25,5.55,8,1,caucafall
forward/FallForwardS8,2,2.55,6.09,8,1,caucafall
side/FallLeftS8,2,3.4,10.1,8,1,caucafall
side/FallRightS8,2,3.68,11.44,8,1,caucafall
backwards/FallBackwardsS8,2,4.55,10.59,8,1,caucafall
adl/SitDownS8,4,4.966,10.59108,8,1,caucafall
side/FallSittingS8,2,5.55,11.69,8,1,caucafall
adl/KneelS8,7,10.0,12.8,8,1,caucafall
adl/HopS9,8,0.0,0.7,9,1,caucafall
adl/KneelS9,0,0.0,2.28,9,1,caucafall
adl/PickupobjectS9,0,0.0,2.38275,9,1,caucafall
adl/SitDownS9,0,0.0,0.86192,9,1,caucafall
adl/WalkS9,0,0.0,11.7,9,1,caucafall
backwards/FallBackwardsS9,8,0.0,1.66,9,1,caucafall
forward/FallForwardS9,0,0.0,1.25,9,1,caucafall
side/FallLeftS9,0,0.0,0.92,9,1,caucafall
side/FallRightS9,0,0.0,1.5,9,1,caucafall
side/FallSittingS9,4,0.0,1.54,9,1,caucafall
adl/HopS9,9,0.7,10.6,9,1,caucafall
adl/SitDownS9,3,0.862,4.71608,9,1,caucafall
side/FallLeftS9,1,0.92,4.32,9,1,caucafall
forward/FallForwardS9,1,1.25,3.45,9,1,caucafall
side/FallRightS9,1,1.5,3.56,9,1,caucafall
side/FallSittingS9,1,1.54,5.0,9,1,caucafall
backwards/FallBackwardsS9,1,1.66,5.08,9,1,caucafall
adl/KneelS9,9,2.28,8.92,9,1,caucafall
adl/PickupobjectS9,9,2.383,10.98108,9,1,caucafall
forward/FallForwardS9,2,3.45,7.39,9,1,caucafall
side/FallRightS9,2,3.56,9.44,9,1,caucafall
side/FallLeftS9,2,4.32,10.34,9,1,caucafall
adl/SitDownS9,4,4.716,11.36192,9,1,caucafall
side/FallSittingS9,2,5.0,10.8,9,1,caucafall
backwards/FallBackwardsS9,2,5.08,12.6,9,1,caucafall
adl/KneelS9,7,8.92,10.8,9,1,caucafall
adl/SitDownS9,7,11.362,11.9,9,1,caucafall
adl/HopS10,9,0.0,12.4,10,1,caucafall
adl/KneelS10,9,0.0,10.99,10,1,caucafall
adl/PickupobjectS10,0,0.0,1.64,10,1,caucafall
adl/SitDownS10,0,0.0,1.54,10,1,caucafall
adl/WalkS10,0,0.0,11.25,10,1,caucafall
backwards/FallBackwardsS10,8,0.0,1.91,10,1,caucafall
forward/FallForwardS10,0,0.0,0.86,10,1,caucafall
side/FallLeftS10,8,0.0,0.97,10,1,caucafall
side/FallRightS10,8,0.0,2.27,10,1,caucafall
side/FallSittingS10,4,0.0,1.85,10,1,caucafall
forward/FallForwardS10,1,0.86,3.56,10,1,caucafall
side/FallLeftS10,1,0.97,3.35,10,1,caucafall
adl/SitDownS10,3,1.54,4.86192,10,1,caucafall
adl/PickupobjectS10,9,1.64,11.83941,10,1,caucafall
side/FallSittingS10,1,1.85,4.45,10,1,caucafall
backwards/FallBackwardsS10,1,1.91,4.41,10,1,caucafall
side/FallRightS10,1,2.27,4.41,10,1,caucafall
side/FallLeftS10,2,3.35,10.59,10,1,caucafall
forward/FallForwardS10,2,3.56,12.14,10,1,caucafall
backwards/FallBackwardsS10,2,4.41,13.69,10,1,caucafall
side/FallRightS10,2,4.41,10.09,10,1,caucafall
side/FallSittingS10,2,4.45,14.39,10,1,caucafall
adl/SitDownS10,4,4.862,9.54942,10,1,caucafall
adl/SitDownS10,7,9.549,10.98692,10,1,caucafall
adl/KneelS10,7,10.982,13.042,10,1,caucafall
adl/SitDownS10,8,10.987,11.7,10,1,caucafall
adl/PickupobjectS10,8,11.839,12.77907,10,1,caucafall
adl/PickupobjectS10,9,12.779,14.599,10,1,caucafall
