dataset,video_path,subject,camera,scenario,activity,source_label,label,start_s,end_s,error
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.1/FallSittingS1_1_1.850_5.990_1_1_caucafall.avi,1,1,FallSittingS1,fallen,2,1,5.99,9.09,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.1/WalkS1_0_0.000_6.460_1_1_caucafall.avi,1,1,WalkS1,standing,8,0,6.46,7.3,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.1/WalkS1_0_0.000_6.460_1_1_caucafall.avi,1,1,WalkS1,walk,0,0,7.3,12.1,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.1/FallForwardS1_0_2.920_5.320_1_1_caucafall.avi,1,1,FallForwardS1,fallen,2,1,7.64,9.5,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.2/FallRightS2_0_0.280_1.060_2_1_caucafall.avi,2,1,FallRightS2,fall,1,1,1.06,2.62,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.2/PickupobjectS2_0_0.000_1.296_2_1_caucafall.avi,2,1,PickupobjectS2,other,9,0,1.296,8.08186,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.2/FallRightS2_0_0.280_1.060_2_1_caucafall.avi,2,1,FallRightS2,fallen,2,1,2.62,7.3,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.2/SitDownS2_3_0.000_3.070_2_1_caucafall.avi,2,1,SitDownS2,sitting,4,0,3.07,4.79942,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.2/FallLeftS2_1_0.610_3.230_2_1_caucafall.avi,2,1,FallLeftS2,fallen,2,1,3.23,5.45,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.2/FallBackwardsS2_1_2.060_4.660_2_1_caucafall.avi,2,1,FallBackwardsS2,fallen,2,1,4.66,5.94,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.2/SitDownS2_3_0.000_3.070_2_1_caucafall.avi,2,1,SitDownS2,stand_up,7,0,4.799,5.6,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.2/KneelS2_7_4.990_6.490_2_1_caucafall.avi,2,1,KneelS2,stand_up,7,0,4.99,6.49,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.2/FallSittingS2_1_2.240_5.620_2_1_caucafall.avi,2,1,FallSittingS2,fallen,2,1,5.62,7.84,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.2/PickupobjectS2_0_0.000_1.296_2_1_caucafall.avi,2,1,PickupobjectS2,standing,8,0,8.08,8.3,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.3/PickupobjectS3_0_0.000_1.696_3_1_caucafall.avi,3,1,PickupobjectS3,other,9,0,1.696,7.44589,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.3/FallForwardS3_1_3.010_5.190_3_1_caucafall.avi,3,1,FallForwardS3,fall,1,1,3.01,5.19,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.3/FallSittingS3_1_1.500_3.420_3_1_caucafall.avi,3,1,FallSittingS3,fallen,2,1,3.42,10.1,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.3/FallRightS3_1_1.760_3.760_3_1_caucafall.avi,3,1,FallRightS3,fallen,2,1,3.76,11.0,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.3/FallLeftS3_1_4.270_6.130_3_1_caucafall.avi,3,1,FallLeftS3,fall,1,1,4.27,6.13,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.3/FallBackwardsS3_1_2.220_5.000_3_1_caucafall.avi,3,1,FallBackwardsS3,fallen,2,1,5.0,8.3,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.3/FallForwardS3_1_3.010_5.190_3_1_caucafall.avi,3,1,FallForwardS3,fallen,2,1,5.19,7.65,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.3/SitDownS3_3_1.987_5.612_3_1_caucafall.avi,3,1,SitDownS3,sitting,4,0,5.57,13.04942,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.3/FallLeftS3_1_4.270_6.130_3_1_caucafall.avi,3,1,FallLeftS3,fallen,2,1,6.13,8.55,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.3/KneelS3_7_6.990_10.648_3_1_caucafall.avi,3,1,KneelS3,stand_up,7,0,6.99,10.64776,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.3/PickupobjectS3_0_0.000_1.696_3_1_caucafall.avi,3,1,PickupobjectS3,standing,8,0,7.446,7.8305,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.3/PickupobjectS3_0_0.000_1.696_3_1_caucafall.avi,3,1,PickupobjectS3,walk,0,0,7.83,9.28242,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.4/FallForwardS4_1_0.000_2.000_4_1_caucafall.avi,4,1,FallForwardS4,fallen,2,1,2.0,8.39,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.4/FallBackwardsS4_0_0.000_2.150_4_1_caucafall.avi,4,1,FallBackwardsS4,fall,1,1,2.15,5.21,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.4/FallSittingS4_1_2.260_4.100_4_1_caucafall.avi,4,1,FallSittingS4,fall,1,1,2.26,4.1,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.4/FallRightS4_1_1.180_3.180_4_1_caucafall.avi,4,1,FallRightS4,fallen,2,1,3.18,7.5,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.4/FallSittingS4_1_2.260_4.100_4_1_caucafall.avi,4,1,FallSittingS4,fallen,2,1,4.1,9.9,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.4/FallLeftS4_1_1.980_4.180_4_1_caucafall.avi,4,1,FallLeftS4,fallen,2,1,4.18,8.1,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.4/FallBackwardsS4_0_0.000_2.150_4_1_caucafall.avi,4,1,FallBackwardsS4,lie_down,5,0,5.21,9.59,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.4/SitDownS4_3_2.799_5.987_4_1_caucafall.avi,4,1,SitDownS4,sitting,4,0,5.987,9.94358,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.4/KneelS4_7_8.531_11.091_4_1_caucafall.avi,4,1,KneelS4,stand_up,7,0,8.531,11.091,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.5/FallRightS5_0_1.800_2.800_5_1_caucafall.avi,5,1,FallRightS5,walk,0,0,1.8,2.8,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.5/FallForwardS5_0_0.000_1.940_5_1_caucafall.avi,5,1,FallForwardS5,fall,1,1,1.94,3.66,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.5/KneelS5_0_0.014_1.954_5_1_caucafall.avi,5,1,KneelS5,other,9,0,2.127,6.673,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.5/SitDownS5_0_0.000_2.299_5_1_caucafall.avi,5,1,SitDownS5,sit_down,3,0,2.299,6.88275,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.5/PickupobjectS5_0_0.000_2.505_5_1_caucafall.avi,5,1,PickupobjectS5,other,9,0,2.505,12.85465,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.5/FallRightS5_0_1.800_2.800_5_1_caucafall.avi,5,1,FallRightS5,fall,1,1,2.8,4.8,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.5/FallForwardS5_0_0.000_1.940_5_1_caucafall.avi,5,1,FallForwardS5,fallen,2,1,3.66,10.0,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.5/FallBackwardsS5_1_0.750_3.850_5_1_caucafall.avi,5,1,FallBackwardsS5,fallen,2,1,3.85,10.69,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.5/FallSittingS5_1_1.880_4.320_5_1_caucafall.avi,5,1,FallSittingS5,fallen,2,1,4.32,11.44,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.5/FallLeftS5_1_1.970_4.490_5_1_caucafall.avi,5,1,FallLeftS5,fallen,2,1,4.49,12.35,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.5/FallRightS5_0_1.800_2.800_5_1_caucafall.avi,5,1,FallRightS5,fallen,2,1,4.8,10.94,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.5/KneelS5_0_0.014_1.954_5_1_caucafall.avi,5,1,KneelS5,stand_up,7,0,6.674,10.394,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.5/SitDownS5_0_0.000_2.299_5_1_caucafall.avi,5,1,SitDownS5,sitting,4,0,6.883,11.46608,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.5/SitDownS5_0_0.000_2.299_5_1_caucafall.avi,5,1,SitDownS5,stand_up,7,0,11.466,12.98608,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.5/PickupobjectS5_0_0.000_2.505_5_1_caucafall.avi,5,1,PickupobjectS5,walk,0,0,12.855,13.55,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.6/FallLeftS6_0_0.000_1.080_6_1_caucafall.avi,6,1,FallLeftS6,fall,1,1,1.08,3.64,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.6/PickupobjectS6_0_0.000_2.195_6_1_caucafall.avi,6,1,PickupobjectS6,other,9,0,2.195,8.69525,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.6/FallForwardS6_0_0.000_2.360_6_1_caucafall.avi,6,1,FallForwardS6,fall,1,1,2.36,5.2,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.6/SitDownS6_0_0.000_2.424_6_1_caucafall.avi,6,1,SitDownS6,sit_down,3,0,2.424,5.36192,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.6/FallRightS6_0_0.000_2.900_6_1_caucafall.avi,6,1,FallRightS6,fall,1,1,2.9,5.12,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.6/FallLeftS6_0_0.000_1.080_6_1_caucafall.avi,6,1,FallLeftS6,fallen,2,1,3.64,11.44,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.6/FallRightS6_0_0.000_2.900_6_1_caucafall.avi,6,1,FallRightS6,fallen,2,1,5.12,11.44,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.6/FallForwardS6_0_0.000_2.360_6_1_caucafall.avi,6,1,FallForwardS6,fallen,2,1,5.2,10.1,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.6/SitDownS6_0_0.000_2.424_6_1_caucafall.avi,6,1,SitDownS6,sitting,4,0,5.362,8.50775,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.6/FallBackwardsS6_1_2.220_5.920_6_1_caucafall.avi,6,1,FallBackwardsS6,fallen,2,1,5.92,11.7,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.6/FallSittingS6_1_2.980_6.020_6_1_caucafall.avi,6,1,FallSittingS6,fallen,2,1,6.02,12.4,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.6/KneelS6_7_7.334_9.434_6_1_caucafall.avi,6,1,KneelS6,stand_up,7,0,7.334,9.434,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.6/SitDownS6_0_0.000_2.424_6_1_caucafall.avi,6,1,SitDownS6,stand_up,7,0,8.508,9.45,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.6/PickupobjectS6_0_0.000_2.195_6_1_caucafall.avi,6,1,PickupobjectS6,walk,0,0,8.695,10.09108,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.7/FallForwardS7_0_0.000_0.780_7_1_caucafall.avi,7,1,FallForwardS7,fall,1,1,0.78,2.64,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.7/SitDownS7_0_0.000_0.799_7_1_caucafall.avi,7,1,SitDownS7,sit_down,3,0,0.799,4.07025,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.7/PickupobjectS7_0_1.069_2.238_7_1_caucafall.avi,7,1,PickupobjectS7,other,9,0,2.238,6.58408,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.7/FallLeftS7_1_2.360_4.380_7_1_caucafall.avi,7,1,FallLeftS7,fall,1,1,2.36,4.38,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.7/FallForwardS7_0_0.000_0.780_7_1_caucafall.avi,7,1,FallForwardS7,fallen,2,1,2.64,8.1,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.7/FallBackwardsS7_1_3.090_5.550_7_1_caucafall.avi,7,1,FallBackwardsS7,fall,1,1,3.09,5.55,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.7/FallRightS7_1_1.030_3.090_7_1_caucafall.avi,7,1,FallRightS7,fallen,2,1,3.09,8.29,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.7/SitDownS7_0_0.000_0.799_7_1_caucafall.avi,7,1,SitDownS7,sitting,4,0,4.07,8.19525,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.7/FallSittingS7_1_1.080_4.160_7_1_caucafall.avi,7,1,FallSittingS7,fallen,2,1,4.16,10.34,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.7/FallLeftS7_1_2.360_4.380_7_1_caucafall.avi,7,1,FallLeftS7,fallen,2,1,4.38,10.6,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.7/FallBackwardsS7_1_3.090_5.550_7_1_caucafall.avi,7,1,FallBackwardsS7,fallen,2,1,5.55,12.55,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.7/PickupobjectS7_0_1.069_2.238_7_1_caucafall.avi,7,1,PickupobjectS7,standing,8,0,6.584,7.584,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.7/SitDownS7_0_0.000_0.799_7_1_caucafall.avi,7,1,SitDownS7,stand_up,7,0,8.195,9.635,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.7/KneelS7_7_9.320_10.100_7_1_caucafall.avi,7,1,KneelS7,stand_up,7,0,9.32,10.1,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.8/FallForwardS8_0_0.000_0.710_8_1_caucafall.avi,8,1,FallForwardS8,fall,1,1,0.71,2.55,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.8/FallRightS8_0_0.000_1.580_8_1_caucafall.avi,8,1,FallRightS8,fall,1,1,1.58,3.68,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.8/PickupobjectS8_0_0.000_1.883_8_1_caucafall.avi,8,1,PickupobjectS8,other,9,0,1.883,13.29942,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.8/FallForwardS8_0_0.000_0.710_8_1_caucafall.avi,8,1,FallForwardS8,fallen,2,1,2.55,6.09,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.8/FallLeftS8_1_1.000_3.400_8_1_caucafall.avi,8,1,FallLeftS8,fallen,2,1,3.4,10.1,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.8/FallRightS8_0_0.000_1.580_8_1_caucafall.avi,8,1,FallRightS8,fallen,2,1,3.68,11.44,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.8/FallBackwardsS8_1_1.730_4.550_8_1_caucafall.avi,8,1,FallBackwardsS8,fallen,2,1,4.55,10.59,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.8/SitDownS8_3_0.000_4.966_8_1_caucafall.avi,8,1,SitDownS8,sitting,4,0,4.966,10.59108,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.8/FallSittingS8_1_2.250_5.550_8_1_caucafall.avi,8,1,FallSittingS8,fallen,2,1,5.55,11.69,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.8/KneelS8_7_10.000_12.800_8_1_caucafall.avi,8,1,KneelS8,stand_up,7,0,10.0,12.8,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.9/HopS9_8_0.000_0.700_9_1_caucafall.avi,9,1,HopS9,other,9,0,0.7,10.6,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.9/SitDownS9_0_0.000_0.862_9_1_caucafall.avi,9,1,SitDownS9,sit_down,3,0,0.862,4.71608,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.9/FallLeftS9_0_0.000_0.920_9_1_caucafall.avi,9,1,FallLeftS9,fall,1,1,0.92,4.32,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.9/FallForwardS9_0_0.000_1.250_9_1_caucafall.avi,9,1,FallForwardS9,fall,1,1,1.25,3.45,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.9/FallRightS9_0_0.000_1.500_9_1_caucafall.avi,9,1,FallRightS9,fall,1,1,1.5,3.56,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.9/KneelS9_0_0.000_2.280_9_1_caucafall.avi,9,1,KneelS9,other,9,0,2.28,8.92,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.9/PickupobjectS9_0_0.000_2.383_9_1_caucafall.avi,9,1,PickupobjectS9,other,9,0,2.383,10.98108,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.9/FallForwardS9_0_0.000_1.250_9_1_caucafall.avi,9,1,FallForwardS9,fallen,2,1,3.45,7.39,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.9/FallRightS9_0_0.000_1.500_9_1_caucafall.avi,9,1,FallRightS9,fallen,2,1,3.56,9.44,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.9/FallLeftS9_0_0.000_0.920_9_1_caucafall.avi,9,1,FallLeftS9,fallen,2,1,4.32,10.34,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.9/SitDownS9_0_0.000_0.862_9_1_caucafall.avi,9,1,SitDownS9,sitting,4,0,4.716,11.36192,ValueError('Insufficient readable sampled frames (0/32)')
CAUCAFall,/content/fall_detection_work/CAUCAFall/Cauca_fall/clips/Subject.9/FallSittingS9_1_1.540_5.000_9_1_caucafall.avi,9,1,FallSittingS9,fallen,2,1,5.0,10.8,ValueError('Insufficient readable sampled frames (0/32)')
